iter	Passed	Remaining
851	6875	1194
852	6884	1186
853	6891	1178
854	6899	1170
855	6905	1161
856	6918	1154
857	6945	1149
858	6956	1141
859	6970	1134
860	6978	1126
861	6985	1118
862	6993	1110
863	7000	1101
864	7006	1093
865	7014	1085
866	7021	1077
867	7031	1069
868	7038	1061
869	7046	1052
870	7053	1044
871	7062	1036
872	7069	1028
873	7077	1020
874	7084	1012
875	7093	1004
876	7099	995
877	7108	987
878	7114	979
879	7121	971
880	7129	962
881	7135	954
882	7144	946
883	7150	938
884	7159	930
885	7165	922
886	7174	913
887	7180	905
888	7189	897
889	7196	889
890	7203	881
891	7210	873
892	7217	864
893	7226	856
894	7232	848
895	7241	840
896	7247	832
897	7257	824
898	7263	816
899	7273	808
900	7279	799
901	7288	791
902	7295	783
903	7303	775
904	7310	767
905	7316	759
906	7324	751
907	7331	742
908	7339	734
909	7346	726
910	7354	718
911	7361	710
912	7369	702
913	7376	694
914	7384	686
915	7391	677
916	7397	669
917	7406	661
918	7412	653
919	7421	645
920	7427	637
921	7436	629
922	7443	620
923	7452	612
924	7458	604
925	7466	596
926	7473	588
927	7482	580
928	7488	572
929	7495	564
930	7504	556
931	7510	547
932	7519	540
933	7526	531
934	7534	523
935	7541	515
936	7550	507
937	7556	499
938	7564	491
939	7571	483
940	7580	475
941	7587	467
942	7593	458
943	7601	450
944	7608	442
945	7617	434
946	7623	426
947	7632	418
948	7638	410
949	7647	402
950	7653	394
951	7660	386
952	7667	378
953	7674	370
954	7682	362
955	7689	353
956	7698	345
957	7704	337
958	7713	329
959	7719	321
960	7728	313
961	7735	305
962	7744	297
963	7751	289
964	7757	281
965	7765	273
966	7775	265
967	7782	257
968	7790	249
969	7797	241
970	7804	233
971	7811	225
972	7817	216
973	7826	208
974	7832	200
975	7841	192
976	7847	184
977	7855	176
978	7862	168
979	7871	160
980	7877	152
981	7886	144
982	7893	136
983	7900	128
984	7908	120
985	7914	112
986	7923	104
987	7930	96
988	7939	88
989	7945	80
990	7954	72
991	7961	64
992	7970	56
993	7977	48
994	7985	40
995	7992	32
996	8001	24
997	8008	16
998	8017	8
999	8024	0
